region,useCard,dCard,income,education,age,age2,dPhone
3,5,1,0,1,63,3969,1
3,3,1,0,1,79,6241,1
3,0,0,16,1,40,1600,1
3,5,1,13,1,45,2025,1
3,3,1,8,1,44,1936,1
3,1,1,30,1,41,1681,1
3,1,1,16,1,35,1225,1
3,2,1,4.15,0,21,441,1
3,0,0,5.633333333,0,19,361,1
3,0,0,0,0,52,2704,1
3,0,0,30,0,46,2116,1
3,0,0,0,0,38,1444,1
3,0,0,0,0,66,4356,0
3,0,0,0,0,36,1296,1
3,0,0,6.5,0,26,676,1
3,0,0,7.8,0,40,1600,0
3,0,0,6.5,0,36,1296,1
3,1,1,6.5,0,50,2500,1
3,0,0,0,0,32,1024,1
3,0,0,5,1,33,1089,1
3,0,0,14,1,39,1521,1
3,0,0,0,0,72,5184,0
3,3,1,7.8,0,47,2209,1
3,0,0,3.466666667,0,44,1936,1
3,3,1,3.6,0,33,1089,1
3,3,1,16,1,31,961,1
3,1,1,3.466666667,1,42,1764,1
3,1,1,11,1,33,1089,1
3,0,0,6.5,0,38,1444,1
3,1,1,12,1,26,676,1
3,10,1,10,1,28,784,1
3,1,1,6.5,0,47,2209,1
3,0,0,0,1,57,3249,1
3,5,1,6.5,0,27,729,1
3,1,1,8.666666667,0,28,784,1
3,1,1,13,1,46,2116,1
3,1,1,16,0,35,1225,1
3,0,0,0,0,67,4489,0
3,0,0,4.333333333,0,40,1600,1
3,2,1,0,1,56,3136,1
3,3,1,0,0,50,2500,1
3,0,0,4.766666667,0,31,961,1
3,0,0,1,1,27,729,1
3,0,0,4,1,33,1089,1
3,2,1,12,1,48,2304,1
3,3,1,6,1,24,576,1
3,5,1,35,1,30,900,1
3,0,0,30,1,44,1936,1
3,0,0,0,0,71,5041,0
3,0,0,8,0,30,900,1
3,0,0,11,1,39,1521,1
3,0,0,7,1,39,1521,1
3,3,1,NA,1,36,1296,1
3,0,0,10,1,30,900,1
3,0,0,NA,1,35,1225,1
3,0,0,0,0,59,3481,0
3,1,1,6.5,0,26,676,0
3,1,1,6.5,0,20,400,1
3,1,1,8.666666667,1,30,900,1
3,1,1,0,0,46,2116,1
3,0,0,5.416666667,0,26,676,1
3,4,1,0,1,18,324,1
3,20,1,8,1,24,576,1
3,0,0,16,1,29,841,1
3,0,0,6.5,0,30,900,1
3,1,1,6.5,0,56,3136,1
3,0,0,8.666666667,0,37,1369,1
3,0,0,0,0,25,625,1
3,3,1,14,1,55,3025,1
3,5,1,10.83333333,0,60,3600,0
3,0,0,6,0,45,2025,0
3,0,0,7.8,0,37,1369,1
3,0,0,6.5,0,34,1156,1
3,0,0,6.5,0,20,400,1
3,0,0,4.32,0,50,2500,0
3,2,1,8,0,47,2209,1
3,3,1,19.93333333,1,27,729,1
3,2,1,8.666666667,0,23,529,1
3,0,0,9,1,34,1156,1
3,0,0,10.2,1,33,1089,1
3,0,0,0,0,40,1600,0
3,0,0,1.3,0,63,3969,1
